time (s) 	 Voltage (V) 
0.862000 	 8.793456 
0.863000 	 8.797318 
0.864000 	 8.801180 
0.865000 	 8.803755 
0.866000 	 8.808905 
0.867000 	 8.812767 
0.868000 	 8.816630 
0.869000 	 8.816630 
0.870000 	 8.824354 
0.871000 	 8.826929 
0.872000 	 8.830792 
0.873000 	 8.832079 
0.874000 	 8.838516 
0.875000 	 8.838516 
0.876000 	 8.843666 
0.877000 	 8.847528 
0.878000 	 8.850103 
0.879000 	 8.853965 
0.880000 	 8.856540 
0.881000 	 8.859115 
0.882000 	 8.857828 
0.883000 	 8.866840 
0.884000 	 8.868127 
0.885000 	 8.873277 
0.886000 	 8.873277 
0.887000 	 8.878427 
0.888000 	 8.882289 
0.889000 	 8.883577 
0.890000 	 8.884864 
0.891000 	 8.888726 
0.892000 	 8.892589 
0.893000 	 8.893876 
0.894000 	 8.895164 
0.895000 	 8.900313 
0.896000 	 8.902888 
0.897000 	 8.905463 
0.898000 	 8.905463 
0.899000 	 8.908038 
0.900000 	 8.913188 
0.901000 	 8.915763 
0.902000 	 8.915763 
0.903000 	 8.919625 
0.904000 	 8.922200 
0.905000 	 8.924775 
0.906000 	 8.924775 
0.907000 	 8.927350 
0.908000 	 8.931212 
0.909000 	 8.932499 
0.910000 	 8.933787 
0.911000 	 8.936362 
0.912000 	 8.938937 
0.913000 	 8.941512 
0.914000 	 8.941512 
0.915000 	 8.944086 
0.916000 	 8.945374 
0.917000 	 8.949236 
0.918000 	 8.949236 
0.919000 	 8.950524 
0.920000 	 8.953099 
0.921000 	 8.955673 
0.922000 	 8.955673 
0.923000 	 8.956961 
0.924000 	 8.958248 
0.925000 	 8.960823 
0.926000 	 8.963398 
0.927000 	 8.963398 
0.928000 	 8.964686 
0.929000 	 8.960823 
0.930000 	 8.968548 
0.931000 	 8.968548 
0.932000 	 8.968548 
0.933000 	 8.967260 
0.934000 	 8.972410 
0.935000 	 8.973698 
0.936000 	 8.973698 
0.937000 	 8.972410 
0.938000 	 8.977560 
0.939000 	 8.976273 
0.940000 	 8.977560 
0.941000 	 8.974985 
0.942000 	 8.980135 
0.943000 	 8.980135 
0.944000 	 8.980135 
0.945000 	 8.980135 
0.946000 	 8.978847 
0.947000 	 8.982710 
0.948000 	 8.982710 
0.949000 	 8.982710 
0.950000 	 8.982710 
0.951000 	 8.985285 
0.952000 	 8.985285 
0.953000 	 8.983997 
0.954000 	 8.983997 
0.955000 	 8.985285 
0.956000 	 8.986572 
0.957000 	 8.985285 
0.958000 	 8.985285 
0.959000 	 8.987859 
0.960000 	 8.986572 
0.961000 	 8.985285 
0.962000 	 8.985285 
0.963000 	 8.986572 
0.964000 	 8.986572 
0.965000 	 8.986572 
0.966000 	 8.985285 
0.967000 	 8.986572 
0.968000 	 8.986572 
0.969000 	 8.985285 
0.970000 	 8.985285 
0.971000 	 8.983997 
0.972000 	 8.983997 
0.973000 	 8.983997 
0.974000 	 8.982710 
0.975000 	 8.982710 
0.976000 	 8.978847 
0.977000 	 8.982710 
0.978000 	 8.980135 
0.979000 	 8.980135 
0.980000 	 8.977560 
0.981000 	 8.978847 
0.982000 	 8.977560 
0.983000 	 8.976273 
0.984000 	 8.974985 
0.985000 	 8.976273 
0.986000 	 8.974985 
0.987000 	 8.972410 
0.988000 	 8.971123 
0.989000 	 8.972410 
0.990000 	 8.971123 
0.991000 	 8.968548 
0.992000 	 8.964686 
0.993000 	 8.963398 
0.994000 	 8.965973 
0.995000 	 8.964686 
0.996000 	 8.962111 
0.997000 	 8.958248 
0.998000 	 8.960823 
0.999000 	 8.958248 
1.000000 	 8.955673 
1.001000 	 8.951811 
1.002000 	 8.954386 
1.003000 	 8.953099 
1.004000 	 8.949236 
1.005000 	 8.946661 
1.006000 	 8.949236 
1.007000 	 8.946661 
1.008000 	 8.942799 
1.009000 	 8.940224 
1.010000 	 8.938937 
1.011000 	 8.938937 
1.012000 	 8.935074 
1.013000 	 8.932499 
1.014000 	 8.931212 
1.015000 	 8.929925 
1.016000 	 8.926062 
1.017000 	 8.923487 
1.018000 	 8.924775 
1.019000 	 8.920912 
1.020000 	 8.919625 
1.021000 	 8.915763 
1.022000 	 8.914475 
1.023000 	 8.909326 
1.024000 	 8.909326 
1.025000 	 8.906751 
1.026000 	 8.904176 
1.027000 	 8.900313 
1.028000 	 8.897739 
1.029000 	 8.896451 
1.030000 	 8.892589 
1.031000 	 8.888726 
1.032000 	 8.888726 
1.033000 	 8.884864 
1.034000 	 8.882289 
1.035000 	 8.878427 
1.036000 	 8.877139 
1.037000 	 8.873277 
1.038000 	 8.870702 
1.039000 	 8.865552 
1.040000 	 8.859115 
1.041000 	 8.861690 
1.042000 	 8.857828 
1.043000 	 8.853965 
1.044000 	 8.847528 
1.045000 	 8.848816 
1.046000 	 8.844953 
1.047000 	 8.839804 
1.048000 	 8.835941 
1.049000 	 8.835941 
1.050000 	 8.833366 
1.051000 	 8.828217 
1.052000 	 8.823067 
1.053000 	 8.821779 
1.054000 	 8.817917 
1.055000 	 8.814055 
1.056000 	 8.808905 
1.057000 	 8.806330 
1.058000 	 8.803755 
1.059000 	 8.796031 
1.060000 	 8.793456 
1.061000 	 8.792168 
1.062000 	 8.788306 
1.063000 	 8.783156 
1.064000 	 8.776719 
1.065000 	 8.774144 
1.066000 	 8.771569 
